epoch,meadows,winter barley,corn,winter wheat,summer barley,clover,winter triticale
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,0.4714285714285714,1.0,1.0,1.0,1.0,1.0
23,1.0,0.45714285714285713,1.0,1.0,1.0,1.0,1.0
24,1.0,0.4857142857142857,1.0,1.0,1.0,1.0,1.0
25,1.0,0.45714285714285713,1.0,1.0,1.0,1.0,1.0
26,1.0,0.5285714285714286,1.0,1.0,1.0,1.0,1.0
27,1.0,0.5285714285714286,1.0,1.0,1.0,1.0,1.0
28,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,1.0
29,1.0,0.45714285714285713,1.0,1.0,1.0,1.0,1.0
30,1.0,0.4142857142857143,1.0,1.0,1.0,1.0,1.0
31,1.0,0.44285714285714284,1.0,1.0,1.0,1.0,1.0
32,1.0,0.4857142857142857,1.0,1.0,1.0,1.0,1.0
33,1.0,0.4714285714285714,1.0,1.0,1.0,1.0,1.0
34,1.0,0.4,1.0,1.0,1.0,1.0,1.0
35,1.0,0.5285714285714286,1.0,1.0,1.0,1.0,1.0
36,1.0,0.4142857142857143,1.0,1.0,1.0,1.0,1.0
37,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,1.0
38,1.0,0.44285714285714284,1.0,1.0,1.0,1.0,1.0
39,1.0,0.4142857142857143,1.0,0.6,0.5285714285714286,1.0,0.5857142857142857
40,1.0,0.42857142857142855,1.0,0.5571428571428572,0.5285714285714286,1.0,0.5714285714285714
41,1.0,0.4,1.0,0.6,0.5571428571428572,1.0,0.6142857142857143
42,1.0,0.5,1.0,0.6,0.5571428571428572,1.0,0.6142857142857143
43,1.0,0.4142857142857143,1.0,0.5571428571428572,0.5285714285714286,1.0,0.5714285714285714
44,1.0,0.44285714285714284,1.0,0.5857142857142857,0.5571428571428572,1.0,0.6
45,1.0,0.45714285714285713,1.0,0.5857142857142857,0.5428571428571428,1.0,0.6
46,1.0,0.5571428571428572,1.0,0.5714285714285714,0.5571428571428572,1.0,0.6
47,1.0,0.4142857142857143,1.0,0.5571428571428572,0.4714285714285714,1.0,0.5857142857142857
48,1.0,0.4142857142857143,1.0,0.5571428571428572,0.5285714285714286,1.0,0.5857142857142857
49,1.0,0.4142857142857143,1.0,0.5571428571428572,0.5285714285714286,1.0,0.5857142857142857
50,1.0,0.4,1.0,0.5571428571428572,0.5,1.0,0.5714285714285714
51,1.0,0.42857142857142855,1.0,0.5571428571428572,0.44285714285714284,1.0,0.5857142857142857
52,1.0,0.4142857142857143,1.0,0.5428571428571428,0.5,1.0,0.5857142857142857
53,1.0,0.38571428571428573,1.0,0.5714285714285714,0.5428571428571428,1.0,0.5857142857142857
54,1.0,0.44285714285714284,1.0,0.5857142857142857,0.5571428571428572,1.0,0.6
55,1.0,0.4,1.0,0.5714285714285714,0.5142857142857142,1.0,0.5857142857142857
56,1.0,0.38571428571428573,1.0,0.6,0.5571428571428572,1.0,0.6
57,1.0,0.4,1.0,0.5857142857142857,0.4857142857142857,1.0,0.6
58,1.0,0.5,1.0,0.5428571428571428,0.4142857142857143,1.0,0.5714285714285714
59,1.0,0.4857142857142857,1.0,0.5714285714285714,0.5285714285714286,1.0,0.6
60,1.0,0.42857142857142855,1.0,0.5714285714285714,0.4857142857142857,1.0,0.5857142857142857
61,1.0,0.38571428571428573,1.0,0.5714285714285714,0.3928571428571429,1.0,0.5857142857142857
62,1.0,0.4142857142857143,1.0,0.5428571428571428,0.4714285714285714,1.0,0.5714285714285714
63,1.0,0.42857142857142855,1.0,0.5428571428571428,0.5142857142857142,1.0,0.5714285714285714
64,1.0,0.42857142857142855,1.0,0.5714285714285714,0.5428571428571428,0.7714285714285715,0.6
65,1.0,0.5428571428571428,1.0,0.5285714285714286,0.5428571428571428,0.8428571428571429,0.5714285714285714
66,1.0,0.5,1.0,0.4857142857142857,0.45714285714285713,0.6142857142857143,0.5714285714285714
67,0.6571428571428571,0.38571428571428573,1.0,0.5714285714285714,0.37142857142857144,0.5571428571428572,0.5857142857142857
68,0.5714285714285714,0.42857142857142855,1.0,0.5571428571428572,0.5071428571428571,0.5428571428571428,0.5857142857142857
69,0.5142857142857142,0.4142857142857143,1.0,0.5571428571428572,0.5,0.5,0.6
70,0.5,0.4142857142857143,1.0,0.5571428571428572,0.5285714285714286,0.4714285714285714,0.5857142857142857
71,0.5142857142857142,0.4142857142857143,1.0,0.5714285714285714,0.38571428571428573,0.4857142857142857,0.5857142857142857
72,0.5142857142857142,0.4142857142857143,1.0,0.5714285714285714,0.44999999999999996,0.5142857142857142,0.6
73,0.4857142857142857,0.4142857142857143,1.0,0.5428571428571428,0.4857142857142857,0.5,0.5714285714285714
74,0.5142857142857142,0.4,1.0,0.5428571428571428,0.5142857142857142,0.5285714285714286,0.5714285714285714
75,0.5,0.4142857142857143,1.0,0.5857142857142857,0.5142857142857142,0.5142857142857142,0.6
76,0.5428571428571428,0.4,1.0,0.5428571428571428,0.45714285714285713,0.5428571428571428,0.5714285714285714
77,0.5,0.4,1.0,0.5428571428571428,0.34285714285714286,0.4857142857142857,0.5714285714285714
78,0.4714285714285714,0.4,1.0,0.5571428571428572,0.37142857142857144,0.4714285714285714,0.5857142857142857
79,0.5142857142857142,0.45714285714285713,1.0,0.5285714285714286,0.42857142857142855,0.5285714285714286,0.5571428571428572
80,0.5,0.4,1.0,0.5428571428571428,0.5285714285714286,0.5,0.5714285714285714
81,0.5,0.42857142857142855,1.0,0.5428571428571428,0.37142857142857144,0.4857142857142857,0.5571428571428572
82,0.5142857142857142,0.38571428571428573,1.0,0.5142857142857142,0.35714285714285715,0.5,0.5857142857142857
83,0.5,0.4142857142857143,1.0,0.5285714285714286,0.35714285714285715,0.5,0.5571428571428572
84,0.45714285714285713,0.4,0.9857142857142858,0.5428571428571428,0.5142857142857142,0.45714285714285713,0.5714285714285714
85,0.4714285714285714,0.4,0.5142857142857142,0.5428571428571428,0.44285714285714284,0.4714285714285714,0.5714285714285714
86,0.4714285714285714,0.4714285714285714,0.5285714285714286,0.5428571428571428,0.5285714285714286,0.4714285714285714,0.5571428571428572
87,0.42857142857142855,0.4142857142857143,0.5285714285714286,0.5285714285714286,0.4142857142857143,0.4714285714285714,0.5571428571428572
88,0.4857142857142857,0.4142857142857143,0.5142857142857142,0.5142857142857142,0.5,0.5,0.5285714285714286
89,0.44285714285714284,0.4,0.45714285714285713,0.5428571428571428,0.5142857142857142,0.45714285714285713,0.5857142857142857
90,0.45714285714285713,0.4,0.4857142857142857,0.5285714285714286,0.4714285714285714,0.4714285714285714,0.5714285714285714
91,0.45714285714285713,0.42857142857142855,0.5142857142857142,0.5285714285714286,0.45714285714285713,0.4857142857142857,0.5571428571428572
92,0.44285714285714284,0.42857142857142855,0.5,0.5714285714285714,0.44285714285714284,0.4714285714285714,0.5857142857142857
93,0.4,0.4,0.5428571428571428,0.5428571428571428,0.4714285714285714,0.44285714285714284,0.5571428571428572
94,0.5285714285714286,0.38571428571428573,0.44285714285714284,0.5142857142857142,0.35714285714285715,0.5,0.5428571428571428
95,0.45714285714285713,0.4,0.5,0.5285714285714286,0.35714285714285715,0.4857142857142857,0.5571428571428572
96,0.45714285714285713,0.4,0.44285714285714284,0.4857142857142857,0.5142857142857142,0.4714285714285714,0.5285714285714286
97,0.44285714285714284,0.4142857142857143,0.5428571428571428,0.5142857142857142,0.35714285714285715,0.4857142857142857,0.5428571428571428
98,0.44285714285714284,0.38571428571428573,0.45714285714285713,0.5428571428571428,0.4142857142857143,0.4714285714285714,0.5571428571428572
99,0.45714285714285713,0.42857142857142855,0.4714285714285714,0.5428571428571428,0.4142857142857143,0.4714285714285714,0.5428571428571428
